episode,epoch,cloud_remaining_units,agent0_comp_units,agent0_channel_quality,agent0_remain_epochs,agent0_power,agent0_action,agent0_reward,agent0_mec_comp_unit_0,agent0_mec_comp_unit_1,agent0_mec_comp_unit_2,agent0_mec_comp_unit_3,agent0_mec_comp_unit_4,agent0_mec_comp_unit_5,agent0_mec_comp_unit_6,agent0_mec_comp_unit_7,agent0_mec_comp_unit_8,agent0_mec_comp_unit_9,agent1_comp_units,agent1_channel_quality,agent1_remain_epochs,agent1_power,agent1_action,agent1_reward,agent1_mec_comp_unit_0,agent1_mec_comp_unit_1,agent1_mec_comp_unit_2,agent1_mec_comp_unit_3,agent1_mec_comp_unit_4,agent1_mec_comp_unit_5,agent1_mec_comp_unit_6,agent1_mec_comp_unit_7,agent1_mec_comp_unit_8,agent1_mec_comp_unit_9,agent2_comp_units,agent2_channel_quality,agent2_remain_epochs,agent2_power,agent2_action,agent2_reward,agent2_mec_comp_unit_0,agent2_mec_comp_unit_1,agent2_mec_comp_unit_2,agent2_mec_comp_unit_3,agent2_mec_comp_unit_4,agent2_mec_comp_unit_5,agent2_mec_comp_unit_6,agent2_mec_comp_unit_7,agent2_mec_comp_unit_8,agent2_mec_comp_unit_9,agent3_comp_units,agent3_channel_quality,agent3_remain_epochs,agent3_power,agent3_action,agent3_reward,agent3_mec_comp_unit_0,agent3_mec_comp_unit_1,agent3_mec_comp_unit_2,agent3_mec_comp_unit_3,agent3_mec_comp_unit_4,agent3_mec_comp_unit_5,agent3_mec_comp_unit_6,agent3_mec_comp_unit_7,agent3_mec_comp_unit_8,agent3_mec_comp_unit_9,agent4_comp_units,agent4_channel_quality,agent4_remain_epochs,agent4_power,agent4_action,agent4_reward,agent4_mec_comp_unit_0,agent4_mec_comp_unit_1,agent4_mec_comp_unit_2,agent4_mec_comp_unit_3,agent4_mec_comp_unit_4,agent4_mec_comp_unit_5,agent4_mec_comp_unit_6,agent4_mec_comp_unit_7,agent4_mec_comp_unit_8,agent4_mec_comp_unit_9
0,0,80,10,0,9,9.0,1,0,4,8,5,7,10,3,7,8,5,0,50,1,9,9.0,1,0,8,8,3,6,5,2,8,6,2,0,45,1,9,9.5,0,5,1,10,6,9,1,10,3,7,4,0,100,0,9,9.0,1,0,3,5,3,7,5,9,7,2,4,0,91,1,9,9.5,0,9,2,10,9,10,5,2,4,7,8,0
0,1,77,6,0,8,8.5,0,4,8,5,7,10,3,7,8,5,0,0,42,1,8,8.5,0,8,8,3,6,5,2,8,6,2,0,0,44,1,8,9.0,0,1,10,6,9,1,10,3,7,4,0,0,100,0,8,8.0,1,0,5,3,7,5,9,7,2,4,0,0,89,1,8,9.0,0,2,10,9,10,5,2,4,7,8,0,0
0,2,54,6,0,7,7.5,1,0,5,7,10,3,7,8,5,0,0,0,34,1,7,8.0,0,8,3,6,5,2,8,6,2,0,0,0,34,1,7,8.5,0,10,6,9,1,10,3,7,4,0,0,0,100,0,7,7.0,1,0,3,7,5,9,7,2,4,0,0,0,89,1,7,8.0,1,10,9,10,5,2,4,7,8,0,0,0
0,3,40,6,0,6,6.5,1,0,7,10,3,7,8,5,0,0,0,0,31,1,6,7.5,0,3,6,5,2,8,6,2,0,0,0,0,28,1,6,8.0,0,6,9,1,10,3,7,4,0,0,0,0,97,0,6,6.5,0,3,7,5,9,7,2,4,0,0,0,0,89,1,6,7.0,1,9,10,5,2,4,7,8,0,0,0,0
0,4,27,6,0,5,5.5,1,0,10,3,7,8,5,0,0,0,0,0,31,1,5,6.5,1,6,5,2,8,6,2,0,0,0,0,0,19,1,5,7.5,0,9,1,10,3,7,4,0,0,0,0,0,90,0,5,6.0,0,7,5,9,7,2,4,0,0,0,0,0,79,1,5,6.5,0,10,5,2,4,7,8,0,0,0,0,0
0,5,7,6,0,4,4.5,1,0,3,7,8,5,0,0,0,0,0,0,31,1,4,5.5,1,5,2,8,6,2,0,0,0,0,0,0,18,1,4,7.0,0,1,10,3,7,4,0,0,0,0,0,0,90,0,4,5.0,1,0,9,7,2,4,0,0,0,0,0,0,74,0,4,6.0,0,5,2,4,7,8,0,0,0,0,0,0
0,6,3,3,0,3,4.0,0,3,7,8,5,0,0,0,0,0,0,0,31,1,3,4.5,1,2,8,6,2,0,0,0,0,0,0,0,8,1,3,6.5,0,10,3,7,4,0,0,0,0,0,0,0,81,0,3,4.5,0,9,7,2,4,0,0,0,0,0,0,0,74,0,3,5.0,1,0,4,7,8,0,0,0,0,0,0,0
0,7,0,3,0,2,3.0,1,0,8,5,0,0,0,0,0,0,0,0,23,1,2,4.0,0,8,6,2,0,0,0,0,0,0,0,0,8,1,2,5.5,1,0,7,4,0,0,0,0,0,0,0,0,74,0,2,4.0,0,7,2,4,0,0,0,0,0,0,0,0,70,0,2,4.5,0,4,7,8,0,0,0,0,0,0,0,0
0,8,0,3,0,1,2.0,1,0,5,0,0,0,0,0,0,0,0,0,23,1,1,3.0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,5.0,0,7,4,0,0,0,0,0,0,0,0,0,74,1,1,3.0,1,0,4,0,0,0,0,0,0,0,0,0,63,0,1,4.0,0,7,8,0,0,0,0,0,0,0,0,0
0,9,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,55,0,0,3.5,0,8,0,0,0,0,0,0,0,0,0,0
