episode,epoch,cloud_remaining_units,agent0_comp_units,agent0_channel_quality,agent0_remain_epochs,agent0_power,agent0_action,agent0_reward,agent0_mec_comp_unit_0,agent0_mec_comp_unit_1,agent0_mec_comp_unit_2,agent0_mec_comp_unit_3,agent0_mec_comp_unit_4,agent0_mec_comp_unit_5,agent0_mec_comp_unit_6,agent0_mec_comp_unit_7,agent0_mec_comp_unit_8,agent0_mec_comp_unit_9,agent1_comp_units,agent1_channel_quality,agent1_remain_epochs,agent1_power,agent1_action,agent1_reward,agent1_mec_comp_unit_0,agent1_mec_comp_unit_1,agent1_mec_comp_unit_2,agent1_mec_comp_unit_3,agent1_mec_comp_unit_4,agent1_mec_comp_unit_5,agent1_mec_comp_unit_6,agent1_mec_comp_unit_7,agent1_mec_comp_unit_8,agent1_mec_comp_unit_9,agent2_comp_units,agent2_channel_quality,agent2_remain_epochs,agent2_power,agent2_action,agent2_reward,agent2_mec_comp_unit_0,agent2_mec_comp_unit_1,agent2_mec_comp_unit_2,agent2_mec_comp_unit_3,agent2_mec_comp_unit_4,agent2_mec_comp_unit_5,agent2_mec_comp_unit_6,agent2_mec_comp_unit_7,agent2_mec_comp_unit_8,agent2_mec_comp_unit_9,agent3_comp_units,agent3_channel_quality,agent3_remain_epochs,agent3_power,agent3_action,agent3_reward,agent3_mec_comp_unit_0,agent3_mec_comp_unit_1,agent3_mec_comp_unit_2,agent3_mec_comp_unit_3,agent3_mec_comp_unit_4,agent3_mec_comp_unit_5,agent3_mec_comp_unit_6,agent3_mec_comp_unit_7,agent3_mec_comp_unit_8,agent3_mec_comp_unit_9,agent4_comp_units,agent4_channel_quality,agent4_remain_epochs,agent4_power,agent4_action,agent4_reward,agent4_mec_comp_unit_0,agent4_mec_comp_unit_1,agent4_mec_comp_unit_2,agent4_mec_comp_unit_3,agent4_mec_comp_unit_4,agent4_mec_comp_unit_5,agent4_mec_comp_unit_6,agent4_mec_comp_unit_7,agent4_mec_comp_unit_8,agent4_mec_comp_unit_9
0,0,78,8,0,9,9.5,0,2,6,3,3,1,2,7,5,8,2,0,50,1,9,9.0,1,0,9,3,5,5,1,9,10,7,9,0,50,0,9,9.0,1,0,5,6,5,2,9,9,5,5,10,0,100,1,9,9.0,1,8,9,7,2,10,1,5,5,2,5,0,99,0,9,9.5,0,1,7,1,8,4,1,5,9,1,10,0
0,1,72,8,0,8,8.5,1,0,3,3,1,2,7,5,8,2,0,0,41,1,8,8.5,0,9,3,5,5,1,9,10,7,9,0,0,45,0,8,8.5,0,5,6,5,2,9,9,5,5,10,0,0,91,1,8,8.5,0,9,7,2,10,1,5,5,2,5,0,0,92,1,8,9.0,0,7,1,8,4,1,5,9,1,10,0,0
0,2,56,8,0,7,7.5,1,0,3,1,2,7,5,8,2,0,0,0,38,1,7,8.0,0,3,5,5,1,9,10,7,9,0,0,0,45,0,7,7.5,1,0,5,2,9,9,5,5,10,0,0,0,91,1,7,7.5,1,7,2,10,1,5,5,2,5,0,0,0,91,1,7,8.5,0,1,8,4,1,5,9,1,10,0,0,0
0,3,41,5,0,6,7.0,0,3,1,2,7,5,8,2,0,0,0,0,33,1,6,7.5,0,5,5,1,9,10,7,9,0,0,0,0,45,0,6,6.5,1,0,2,9,9,5,5,10,0,0,0,0,91,1,6,6.5,1,2,10,1,5,5,2,5,0,0,0,0,91,1,6,7.5,1,8,4,1,5,9,1,10,0,0,0,0
0,4,20,4,0,5,6.5,0,1,2,7,5,8,2,0,0,0,0,0,33,1,5,6.5,1,5,1,9,10,7,9,0,0,0,0,0,45,0,5,5.5,1,0,9,9,5,5,10,0,0,0,0,0,91,1,5,5.5,1,10,1,5,5,2,5,0,0,0,0,0,91,1,5,6.5,1,4,1,5,9,1,10,0,0,0,0,0
0,5,19,2,1,4,6.0,0,2,7,5,8,2,0,0,0,0,0,0,33,1,4,5.5,1,1,9,10,7,9,0,0,0,0,0,0,36,0,4,5.0,0,9,9,5,5,10,0,0,0,0,0,0,90,1,4,5.0,0,1,5,5,2,5,0,0,0,0,0,0,90,1,4,6.0,0,1,5,9,1,10,0,0,0,0,0,0
0,6,5,0,1,3,5.5,0,0,5,8,2,0,0,0,0,0,0,0,24,1,3,5.0,0,9,10,7,9,0,0,0,0,0,0,0,36,0,3,4.0,1,0,5,5,10,0,0,0,0,0,0,0,90,1,3,4.0,1,5,5,2,5,0,0,0,0,0,0,0,85,1,3,5.5,0,5,9,1,10,0,0,0,0,0,0,0
0,7,0,0,1,2,4.5,1,0,8,2,0,0,0,0,0,0,0,0,24,1,2,4.0,1,0,7,9,0,0,0,0,0,0,0,0,36,1,2,3.0,1,0,5,10,0,0,0,0,0,0,0,0,85,1,2,3.5,0,5,2,5,0,0,0,0,0,0,0,0,85,1,2,4.5,1,0,1,10,0,0,0,0,0,0,0,0
0,8,0,0,1,1,3.5,1,0,2,0,0,0,0,0,0,0,0,0,17,1,1,3.5,0,7,9,0,0,0,0,0,0,0,0,0,31,1,1,2.5,0,5,10,0,0,0,0,0,0,0,0,0,85,1,1,2.5,1,0,5,0,0,0,0,0,0,0,0,0,85,1,1,3.5,1,0,10,0,0,0,0,0,0,0,0,0
0,9,0,0,1,0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,3.0,0,9,0,0,0,0,0,0,0,0,0,0,31,1,0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,85,1,0,1.5,1,0,0,0,0,0,0,0,0,0,0,0,85,1,0,2.5,1,0,0,0,0,0,0,0,0,0,0,0
1,0,83,10,1,9,9.0,1,4,4,9,1,9,9,1,1,1,5,0,50,0,9,9.0,1,0,1,9,9,8,1,1,1,6,4,0,43,0,9,9.5,0,7,5,7,10,10,8,8,9,1,2,0,95,1,9,9.5,0,5,5,1,2,10,9,7,9,8,6,0,100,1,9,9.0,1,10,8,2,3,3,6,3,9,3,3,0
