episode,epoch,cloud_remaining_units,agent0_comp_units,agent0_channel_quality,agent0_remain_epochs,agent0_power,agent0_action,agent0_reward,agent0_mec_comp_unit_0,agent0_mec_comp_unit_1,agent0_mec_comp_unit_2,agent0_mec_comp_unit_3,agent0_mec_comp_unit_4,agent0_mec_comp_unit_5,agent0_mec_comp_unit_6,agent0_mec_comp_unit_7,agent0_mec_comp_unit_8,agent0_mec_comp_unit_9,agent1_comp_units,agent1_channel_quality,agent1_remain_epochs,agent1_power,agent1_action,agent1_reward,agent1_mec_comp_unit_0,agent1_mec_comp_unit_1,agent1_mec_comp_unit_2,agent1_mec_comp_unit_3,agent1_mec_comp_unit_4,agent1_mec_comp_unit_5,agent1_mec_comp_unit_6,agent1_mec_comp_unit_7,agent1_mec_comp_unit_8,agent1_mec_comp_unit_9,agent2_comp_units,agent2_channel_quality,agent2_remain_epochs,agent2_power,agent2_action,agent2_reward,agent2_mec_comp_unit_0,agent2_mec_comp_unit_1,agent2_mec_comp_unit_2,agent2_mec_comp_unit_3,agent2_mec_comp_unit_4,agent2_mec_comp_unit_5,agent2_mec_comp_unit_6,agent2_mec_comp_unit_7,agent2_mec_comp_unit_8,agent2_mec_comp_unit_9,agent3_comp_units,agent3_channel_quality,agent3_remain_epochs,agent3_power,agent3_action,agent3_reward,agent3_mec_comp_unit_0,agent3_mec_comp_unit_1,agent3_mec_comp_unit_2,agent3_mec_comp_unit_3,agent3_mec_comp_unit_4,agent3_mec_comp_unit_5,agent3_mec_comp_unit_6,agent3_mec_comp_unit_7,agent3_mec_comp_unit_8,agent3_mec_comp_unit_9,agent4_comp_units,agent4_channel_quality,agent4_remain_epochs,agent4_power,agent4_action,agent4_reward,agent4_mec_comp_unit_0,agent4_mec_comp_unit_1,agent4_mec_comp_unit_2,agent4_mec_comp_unit_3,agent4_mec_comp_unit_4,agent4_mec_comp_unit_5,agent4_mec_comp_unit_6,agent4_mec_comp_unit_7,agent4_mec_comp_unit_8,agent4_mec_comp_unit_9
0,0,75,10,1,9,9.0,1,5.8,1,10,6,5,10,10,3,2,7,0,50,0,9,9.0,1,-0.2,1,2,5,10,6,4,8,2,7,0,43,0,9,9.5,0,6.9,6,3,4,1,6,3,8,4,5,0,100,0,9,9.0,1,-0.2,3,8,9,9,8,6,6,6,3,0,100,1,9,9.0,1,-0.2,9,1,6,8,10,5,7,9,7,0
0,1,69,9,1,8,8.5,0,0.9,10,6,5,10,10,3,2,7,0,0,49,1,8,8.5,0,0.9,2,5,10,6,4,8,2,7,0,0,43,0,8,8.5,1,-0.2,3,4,1,6,3,8,4,5,0,0,97,0,8,8.5,0,2.9,8,9,9,8,6,6,6,3,0,0,91,1,8,8.5,0,8.9,1,6,8,10,5,7,9,7,0,0
0,2,56,9,1,7,7.5,1,0.0,6,5,10,10,3,2,7,0,0,0,47,0,7,8.0,0,1.9,5,10,6,4,8,2,7,0,0,0,43,0,7,7.5,1,-0.2,4,1,6,3,8,4,5,0,0,0,89,0,7,8.0,0,7.9,9,9,8,6,6,6,3,0,0,0,90,1,7,8.0,0,0.9,6,8,10,5,7,9,7,0,0,0
0,3,45,3,1,6,7.0,0,5.9,5,10,10,3,2,7,0,0,0,0,47,1,6,7.0,1,-0.2,10,6,4,8,2,7,0,0,0,0,39,0,6,7.0,0,3.9,1,6,3,8,4,5,0,0,0,0,80,0,6,7.5,0,8.9,9,8,6,6,6,3,0,0,0,0,90,1,6,7.0,1,5.8,8,10,5,7,9,7,0,0,0,0
0,4,18,0,1,5,6.5,0,-0.2,10,10,3,2,7,0,0,0,0,0,47,1,5,6.0,1,9.8,6,4,8,2,7,0,0,0,0,0,38,0,5,6.5,0,0.9,6,3,8,4,5,0,0,0,0,0,80,0,5,6.5,1,-0.2,8,6,6,6,3,0,0,0,0,0,90,0,5,6.0,1,7.8,10,5,7,9,7,0,0,0,0,0
0,5,0,0,1,4,5.5,1,0.0,10,3,2,7,0,0,0,0,0,0,47,1,4,5.0,1,5.8,4,8,2,7,0,0,0,0,0,0,38,0,4,5.5,1,-0.2,3,8,4,5,0,0,0,0,0,0,80,0,4,5.5,1,-0.2,6,6,6,3,0,0,0,0,0,0,80,1,4,5.5,0,9.9,5,7,9,7,0,0,0,0,0,0
0,6,0,0,1,3,4.5,1,0.0,3,2,7,0,0,0,0,0,0,0,43,1,3,4.5,0,3.9,8,2,7,0,0,0,0,0,0,0,38,0,3,4.5,1,-0.2,8,4,5,0,0,0,0,0,0,0,74,0,3,5.0,0,5.9,6,6,3,0,0,0,0,0,0,0,80,1,3,4.5,1,0.0,7,9,7,0,0,0,0,0,0,0
0,7,0,0,1,2,3.5,1,0.0,2,7,0,0,0,0,0,0,0,0,43,1,2,3.5,1,0.0,2,7,0,0,0,0,0,0,0,0,30,1,2,4.0,0,7.9,4,5,0,0,0,0,0,0,0,0,74,0,2,4.0,1,-0.2,6,3,0,0,0,0,0,0,0,0,73,0,2,4.0,0,6.9,9,7,0,0,0,0,0,0,0,0
0,8,0,0,1,1,3.0,0,-0.2,7,0,0,0,0,0,0,0,0,0,41,1,1,3.0,0,1.9,7,0,0,0,0,0,0,0,0,0,26,1,1,3.5,0,3.9,5,0,0,0,0,0,0,0,0,0,74,0,1,3.0,1,-0.2,3,0,0,0,0,0,0,0,0,0,64,0,1,3.5,0,8.9,7,0,0,0,0,0,0,0,0,0
0,9,0,0,1,0,2.0,1,0.0,0,0,0,0,0,0,0,0,0,0,34,1,0,2.5,0,6.9,0,0,0,0,0,0,0,0,0,0,26,0,0,2.5,1,0.0,0,0,0,0,0,0,0,0,0,0,71,0,0,2.5,0,2.9,0,0,0,0,0,0,0,0,0,0,57,0,0,3.0,0,6.9,0,0,0,0,0,0,0,0,0,0
